numero_cuartos;numero_baños;area_de_ construcción_pie2;area_del lote_pie2;numero_pisos;condición;grado;superficie_sótano_pie2;año_de_construcción;precio
4;2;1830;4590;2;3;8;0;1908;700000
3;2;1560;8853;1;3;7;0;1967;270000
2;1;920;5000;1;4;6;430;1949;280300
4;3;1780;7260;1;4;8;0;1964;538200
2;1;1080;3600;1;3;7;0;1922;429000
3;1;1250;5411;1;3;7;0;1980;164808
2;1;1380;5484;1;3;8;350;1947;543115
2;2;1920;6045;1;3;8;0;2003;554000
4;3;3680;5854;1;3;10;1620;1967;980000
2;1;1600;8961;1;4;7;210;1949;218500
2;1;820;8860;1;3;6;0;1950;197500
3;2;1700;4250;1;3;6;810;1944;410000
3;1;1140;10320;1;4;7;0;1963;379000
3;1;1020;18050;1;3;7;0;1969;399950
1;1;730;6890;1;4;4;0;1926;140000
3;1;1190;6250;1;3;7;200;1954;250000
2;1;1240;57000;1;3;7;0;1962;505000
2;1;1060;4228;1;3;7;200;1906;515000
4;3;2010;7426;1;5;7;920;1951;310000
2;1;1090;5000;1;4;7;360;1942;356700
3;1;1040;7541;1;3;6;0;1951;325000
2;1;1150;12775;1;4;6;0;1908;825000
4;3;2690;28300;1;3;8;0;1954;675000
4;2;1850;11700;1;4;8;0;1969;385000
3;1;1010;9611;1;4;6;0;1973;241000
2;1;720;4222;1;4;5;0;1942;151000
5;2;2270;2400;2;3;7;0;1905;631000
3;1;1260;8378;1;4;6;420;1959;195000
3;2;1810;12825;1;4;7;0;1960;550000
3;1;1230;4380;1;3;6;0;1947;200000
2;1;970;4560;1;4;7;0;1907;690000
3;1;1350;7740;1;4;6;490;1947;353000
3;1;940;8571;1;3;6;0;1950;239000
3;1;1480;5670;1;3;6;700;1944;170000
2;1;1190;27007;1;4;5;0;1910;195000
3;1;1690;4250;1;3;7;670;1967;269000
7;3;2940;8624;1;3;8;1250;1977;420000
3;1;1130;4100;1;3;7;140;1941;400000
3;1;1020;8437;1;5;6;0;1987;225000
2;2;1310;2550;2;3;6;0;2004;219000
4;2;2020;6867;1;5;8;1010;1942;625000
5;2;1680;3240;1;3;5;840;1906;380000
4;2;1440;7950;1;5;6;0;1962;225500
3;2;1150;6000;1;5;7;0;1956;252500
1;0;670;43377;1;3;3;0;1966;75000
2;1;880;2970;1;3;7;0;1927;492000
2;1;700;3000;1;4;6;0;1918;310000
3;3;1520;7500;1;3;7;340;1967;460000
3;1;1070;6440;1;4;7;0;1971;194000
4;2;2440;9600;1;5;7;1220;1963;274700
3;2;1500;2500;2;3;8;0;2002;505000
3;1;1330;40259;1;4;7;0;1977;535000
3;1;1830;13900;1;3;7;0;1951;423000
3;1;1170;11100;1;4;6;0;1968;235000
2;2;2930;14057;1;4;8;1250;1980;545000
2;1;1230;7560;1;3;7;0;1961;343000
4;1;1440;8250;1;3;7;0;1959;220000
2;1;1740;8100;1;3;6;690;1947;173000
2;1;880;3000;1;3;6;0;1924;406000
2;1;770;8149;1;3;6;0;1948;277000
3;1;960;10125;1;4;7;0;1952;179950
3;2;1940;6440;1;5;7;970;1940;651000
3;1;1170;4400;1;3;7;300;1951;470000
4;2;2760;27631;2;4;8;960;1978;500000
2;1;770;17334;1;3;7;0;1978;100000
3;1;1110;7520;1;4;7;0;1960;130000
4;3;2800;7845;2;3;8;0;2002;457000
3;1;990;7420;1;5;6;0;1960;208000
2;1;790;11234;1;4;6;0;1942;250275
2;1;790;11234;1;4;6;0;1942;435000
4;2;1980;23625;2;3;8;0;1938;659000
7;3;2800;9569;1;3;7;1400;1963;350000
2;1;1840;81892;1;3;6;0;1955;375000
3;2;1760;11410;1;5;7;700;1977;317000
3;1;1270;7566;1;4;7;0;1958;276900
5;2;2620;7030;1;3;8;1200;1965;399000
2;2;920;1201;2;3;8;120;2009;363000
4;3;2170;4000;2;4;9;560;1982;831000
3;1;1250;17380;1;4;7;0;1970;345000
3;2;1530;8925;1;3;7;0;1977;371025
2;1;960;6250;1;3;6;0;1916;355000
3;1;1240;14110;1;4;7;0;1972;270000
2;1;960;28717;1;4;6;0;1984;255000
3;1;1130;7500;1;3;7;250;1947;550000
3;1;1150;5120;1;4;6;350;1946;420000
4;2;1680;5000;1;3;7;700;1950;588000
4;3;1900;7194;2;4;7;0;1988;285000
3;1;1570;9467;1;3;7;0;1954;360000
3;1;1370;17859;1;4;7;220;1930;275000
2;2;1350;4225;1;3;8;0;2003;428000
3;1;1010;7838;1;4;6;0;1977;316000
3;1;1670;4080;1;3;7;500;1967;533000
4;2;2220;14120;1;3;7;1020;1966;225000
3;1;1180;13650;1;4;7;0;1967;255000
4;2;2100;8880;1;4;7;0;1958;548000
4;1;1750;12528;1;4;7;0;1967;432000
2;1;830;7590;1;2;6;0;1943;110000
2;1;910;7000;1;3;7;0;1952;389000
3;2;1970;79714;1;3;7;900;1979;360000
2;1;1350;4494;1;3;7;430;1949;345000
3;2;2310;6000;2;4;9;750;1926;815000
3;1;1440;11250;1;3;7;0;1967;290000
2;1;1120;5650;1;3;6;0;1944;260000
5;3;2920;2808;2;3;8;780;1960;830000
3;1;1560;7552;1;4;6;650;1948;320000
3;2;1700;11475;1;5;6;730;1945;225000
1;1;640;6350;1;3;5;0;1939;279200
3;1;1230;6000;1;4;7;450;1937;433500
3;2;1770;14400;1;4;8;0;1959;381000
2;1;1050;5671;1;3;7;200;1949;439000
2;1;1130;5070;1;4;7;0;1955;325000
2;1;880;6380;1;3;7;0;1938;490000
2;2;1200;3900;1;3;8;0;2006;408000
2;1;910;4662;1;5;6;0;1942;280000
3;2;1650;6000;1;3;7;0;1990;241000
3;1;1280;9630;1;3;7;0;1968;389000
2;1;920;8612;1;5;7;0;1947;340895
4;3;3180;80837;2;3;11;0;1985;914600
3;2;1760;5400;1;5;7;600;1927;715000
2;1;760;4000;1;4;6;0;1950;265000
3;1;1530;4944;1;3;7;0;1950;640000
3;2;2040;5600;1;5;7;920;1954;535000
3;1;1200;9194;1;4;7;0;1952;369500
3;1;870;5330;1;3;6;0;1969;180000
2;1;1010;6000;1;4;6;0;1944;215000
2;1;1010;6000;1;4;6;0;1944;302000
4;2;1330;5926;1;4;5;0;1942;235867
1;1;660;2600;1;3;6;0;1919;250000
3;1;1500;2555;2;3;7;0;1910;707500
4;2;1560;3840;1;4;6;600;1924;459000
2;1;970;4284;1;3;7;0;1905;495000
3;1;1050;7500;1;3;6;0;1900;440000
3;2;1700;4080;1;4;7;850;1941;652000
4;2;1540;17859;1;3;6;0;1964;519500
6;3;2180;7956;2;3;7;0;1980;235000
3;3;2440;15540;2;3;9;0;1992;483000
2;1;1030;8786;1;3;6;0;1956;250000
2;1;820;4025;1;5;6;0;1922;420000
3;1;970;8040;1;3;7;0;1956;425000
3;1;1340;11070;1;4;7;0;1978;206135
3;1;2280;4600;1;3;8;1030;1936;850000
4;3;3060;5000;2;3;8;0;2001;399000
2;1;700;9500;1;3;6;0;1951;190000
3;2;1720;5525;1;5;7;760;1941;500000
3;2;1690;9087;1;3;8;0;1997;337000
3;1;970;8710;1;4;6;0;1962;170000
3;2;1490;9000;1;4;8;0;1977;391000
2;1;1230;1820;2;4;7;400;1948;375000
2;1;1100;7200;1;4;6;0;1944;150000
4;3;2590;7213;2;3;8;0;2001;355000
3;2;1450;9333;2;4;7;0;1972;245000
3;2;1180;7793;1;4;7;0;1992;265900
3;1;1120;7250;1;4;7;0;1972;343000
3;3;2480;45302;1;4;8;860;1976;610000
3;1;1800;5750;1;3;7;760;1947;610000
3;1;1100;8560;1;3;6;0;1961;199990
5;3;3100;5250;2;3;7;0;2006;539950
3;1;1060;7473;1;3;7;0;1959;140000
3;1;1060;7473;1;3;7;0;1959;235000
2;1;1210;4800;1;3;8;150;1950;380000
4;1;1530;8890;1;3;7;550;1925;352000
3;2;1920;7598;1;4;8;0;1972;443500
2;1;1150;8138;1;3;7;0;1954;332000
3;1;1070;7140;1;3;7;0;1989;327500
2;2;1270;3881;1;4;6;660;1926;512000
3;2;1760;6600;1;3;7;0;1998;290000
3;2;1270;3600;1;3;7;0;1963;349500
2;1;710;6322;1;3;6;0;1942;245000
2;1;790;4000;1;3;7;0;1908;169317
1;1;930;7129;1;3;6;0;1948;210000
4;2;1990;29078;2;3;9;0;1984;540000
3;1;1510;142803;1;3;7;0;1974;299000
2;1;1100;6240;1;4;7;0;1941;570000
4;2;2000;6380;2;4;6;140;1949;520000
3;1;990;10723;1;5;7;0;1960;284950
2;1;1200;9488;1;5;7;0;1941;231500
3;3;1260;1251;2;3;7;220;2003;342000
8;5;2800;2580;2;3;8;920;1997;490000
5;2;1880;4179;1;3;7;940;1952;349950
3;2;1810;2159;1;3;7;800;1922;550000
3;1;1020;7650;1;3;7;0;1940;293000
3;1;1200;8514;1;3;7;0;1959;165050
5;3;2930;5500;1;3;7;1180;1951;445000
3;2;1560;7352;1;3;6;0;1992;196440
2;1;930;2600;1;3;7;0;1981;281000
3;2;2000;7000;2;3;7;0;1916;561000
2;1;1040;3600;1;4;7;0;1919;600000
3;1;1370;56628;1;3;7;0;1942;229000
2;2;1180;3200;1;4;6;590;1945;360000
4;1;1300;1651359;1;4;6;0;1920;700000
5;3;3040;9601;1;5;9;1070;1968;830000
3;1;1340;9339;1;5;7;0;1960;345000
3;1;1240;10800;1;5;7;0;1959;350000
4;2;2500;36900;1;3;7;960;1972;368000
3;2;2660;16677;1;3;9;450;1990;435000
1;1;680;1638;1;1;6;0;1910;252000
4;2;1910;4225;1;4;6;1000;1919;189950
5;3;3880;7180;2;3;7;0;2004;445000
3;2;1710;134489;1;5;7;0;1952;397000
2;1;1320;4520;1;3;6;0;1912;451555
2;1;960;8153;1;3;6;0;1947;300000
2;1;950;3060;1;3;6;140;1925;490000
2;2;930;1662;1;3;7;260;2002;368000
4;4;3570;8250;2;3;10;710;2015;597326
3;1;1340;306848;1;3;5;0;1953;210000
3;1;1010;10168;1;3;6;0;1979;300000
3;2;1210;7136;1;3;7;0;2003;269000
3;1;1240;5400;1;4;7;180;1940;355000
2;1;840;12252;1;3;6;0;1994;190000
4;3;3750;11025;2;3;10;0;1976;920000
2;1;860;5000;1;3;6;0;1915;256000
4;2;1880;7500;1;5;6;900;1946;212000
4;2;1720;7560;1;3;7;0;1959;206000
3;2;2060;7000;1;4;9;0;1988;574000
4;3;2720;183823;2;3;8;0;1975;850000
5;1;1940;8875;1;3;7;0;1957;300000
3;1;1160;36831;1;3;7;0;1938;450000
2;1;1180;6552;1;4;6;0;1949;275000
3;1;1660;11783;1;4;7;500;1978;367500
4;2;2430;8960;1;3;7;1000;1960;255000
2;2;1300;2500;1;4;7;530;1926;501000
3;1;1060;4650;1;3;7;150;1950;450000
2;1;820;4234;1;3;6;0;1951;389950
2;1;1030;4400;1;3;7;0;1924;469000
2;1;2020;7200;1;4;7;320;1947;720000
3;2;1840;8580;1;3;8;0;1990;380000
2;1;1170;8925;1;3;6;0;1911;175000
2;1;1450;4750;1;3;7;600;1950;210000
3;2;2140;3600;2;3;8;460;1911;625000
2;1;990;8250;1;3;7;0;1955;365000
4;2;2460;5921;1;4;7;1230;1948;247500
5;3;2080;6150;1;3;7;1040;1950;345000
3;2;1700;8400;2;3;7;0;1927;616300
3;1;1250;7210;1;4;7;0;1968;150000
3;1;1710;10190;1;3;6;400;1949;340000
4;4;3280;8448;2;3;10;0;2007;785500
4;3;2580;7299;2;3;8;0;1998;449500
3;1;2150;7007;1;3;6;0;1954;300000
3;1;1250;7157;1;3;7;0;1944;400000
3;1;980;9115;1;3;7;0;1968;133000
2;1;1080;2674;1;4;6;360;1919;315000
3;2;3030;9374;1;4;7;930;1959;590000
2;1;880;5111;1;3;6;0;1931;400000
3;2;1440;10111;1;3;7;0;1963;210000
2;1;620;4760;1;3;6;0;1941;265000
5;5;5774;31675;1;3;11;1284;1984;740000
3;1;1240;6195;1;3;6;0;1948;230000
4;2;1580;6250;1;3;7;720;1977;190000
6;4;4470;17877;3;3;9;1240;2013;598800
5;3;1980;3868;1;3;7;760;1990;333800
3;1;1260;7920;1;3;7;0;1966;240000
4;3;2900;10400;1;5;8;1370;1959;930000
3;2;1370;9760;1;4;7;260;1979;232500
1;1;960;40946;1;5;5;0;1945;420850
3;2;1970;7000;1;3;8;0;1986;429800
3;2;2660;4500;1;4;7;1330;1922;605000
3;2;1340;5670;2;3;6;0;1994;252000
2;1;800;5100;1;3;7;0;1945;439000
4;2;1770;8890;1;5;6;0;1949;355000
2;1;890;3271;1;4;6;0;1918;409000
2;1;860;3880;1;4;6;0;1916;420000
3;2;2080;7020;1;4;7;1040;1951;555000
3;1;1990;7173;1;3;7;0;1972;310000
6;3;2630;8800;1;3;7;1020;1959;430000
3;1;1230;9660;1;3;7;0;1968;322000
3;1;1010;8581;1;4;6;0;1920;180000
2;1;1010;3400;1;3;7;0;1921;470450
4;2;1440;6702;1;4;7;0;1966;176250
2;1;1350;10096;1;4;7;0;1952;276900
1;1;1090;8750;1;4;6;0;1924;463500
3;2;1380;7476;1;3;7;0;1989;272000
2;1;1290;3140;2;3;7;0;2008;305000
2;1;870;6126;1;4;7;0;1938;387500
3;1;770;9750;1;3;6;0;1941;156000
5;4;3600;14720;1;5;8;1800;1960;835000
2;1;720;6687;1;3;6;0;1942;329350
3;1;1250;150117;1;3;7;0;1975;475000
1;1;810;2451;1;5;7;0;1941;235000
1;1;900;4368;1;5;6;0;1915;152900
2;2;1190;7570;1;3;6;0;1939;210000
4;1;1010;6000;1;3;6;260;1925;350000
3;2;2520;5980;1;3;8;730;1957;650000
3;1;1200;7727;1;4;7;0;1959;219950
4;3;2720;11740;1;5;9;0;1957;940000
2;2;1680;6194;1;3;8;0;2004;575000
2;1;710;5200;1;4;6;0;1942;320000
3;2;1540;6250;1;3;7;0;1998;272500
4;2;1350;7255;1;4;7;0;1959;400000
2;1;890;6095;1;3;7;0;1947;510000
3;1;1240;5200;1;3;6;0;1969;150000
3;1;1200;9936;1;4;6;0;1969;225000
2;1;870;5000;1;3;6;0;1949;235000
3;1;1390;12145;1;4;7;0;1964;199000
2;1;950;7692;1;3;6;0;1926;192500
4;2;2130;2800;1;5;7;1060;1922;800000
3;2;1870;5455;1;5;7;810;1926;521000
2;1;990;9223;1;3;7;0;1949;365000
3;2;2005;7000;1;3;7;400;1980;491000
3;1;1400;13975;1;4;6;0;1956;280000
3;2;1790;7259;1;3;7;400;1980;307000
3;2;2050;9396;1;5;7;880;1960;399950
3;3;2400;4000;2;3;7;540;1905;852000
4;2;2790;8793;1;4;8;1150;1977;723000
2;1;1740;5719;1;3;8;0;1955;800000
2;1;860;8308;1;4;7;0;1948;330000
3;2;2460;6600;1;4;8;1090;1952;678500
2;1;670;4640;1;3;6;0;1943;250000
3;1;980;9135;1;3;7;0;1955;185000
4;2;1560;8250;1;3;8;240;1964;400000
2;1;520;22334;1;2;5;0;1951;82500
4;4;3010;7221;2;3;10;0;2004;765000
2;1;1510;6807;1;3;7;420;1939;415000
3;1;1040;8410;1;3;7;0;1942;245990
3;1;2400;17239;1;4;7;510;1940;455000
3;1;1230;10350;1;4;7;0;1957;250000
2;1;1088;8453;1;3;6;0;1952;238000
3;1;800;5760;1;3;6;100;1949;265000
3;1;1190;10350;1;4;7;0;1959;306000
3;2;2080;11375;1;3;8;0;2002;342500
3;1;1040;8128;1;3;6;0;1983;234000
4;3;2030;12675;2;3;7;0;1982;499000
3;1;1450;6776;1;3;7;0;1952;150000
4;2;1850;8827;1;3;7;0;1969;360000
3;2;1460;7930;1;3;7;0;1989;258500
3;1;1140;5000;1;3;7;0;1960;276000
